"Well Name","Year","Month","Oil (m³)","Gas (10³m³)","Water (m³)"
"HIB-B-016-017-Z","2020","1","8,278.50","1,899.90","2,258.20"
"","","2","9,167.20","2,186.00","3,348.00"
"","","3","7,526.60","1,550.30","3,162.50"
"","","4","6,326.70","1,123.80","2,712.00"
"","","5","6,154.60","1,163.80","2,641.60"
"","","6","6,159.50","1,240.30","2,334.20"
"","","7","6,238.00","1,137.30","2,352.00"
"","","8","7,980.60","1,389.10","2,711.10"
"","","9","6,620.00","991.40","2,096.40"
"","","10","6,686.80","969.60","2,131.80"
"","","11","7,404.20","1,311.60","2,829.70"
"","","12","5,262.00","981.10","1,890.80"
"Yearly Total:","","","83,804.70","15,944.20","30,468.30"
