"Well Name","Year","Month","Oil (m³)","Gas (10³m³)","Water (m³)"
"HIB-B-016-046","2019","1","18,074.80","1,990.00","46,126.80"
"","","2","15,716.90","1,828.60","47,929.40"
"","","3","17,198.50","2,440.40","62,220.20"
"","","4","15,628.80","2,697.60","52,640.50"
"","","5","17,141.90","2,558.10","61,387.10"
"","","6","11,184.80","2,351.00","67,607.30"
"","","7","5,185.30","1,223.60","35,203.30"
"","","8","0.00","0.00","0.00"
"","","9","1,035.50","107.40","3,320.50"
"","","10","14,239.90","1,916.30","49,427.60"
"","","11","16,115.10","1,940.30","56,073.80"
"","","12","13,380.60","1,355.40","48,888.60"
"Yearly Total:","","","144,902.10","20,408.70","530,825.10"
